Timestamp,Data 1
5/3/2017 11:50,s
5/3/2017 12:00,10
5/3/2017 12:10,10
5/3/2017 12:20,10
5/3/2017 12:30,10
5/3/2017 12:40,10
5/3/2017 12:50,10
5/3/2017 13:00,10
5/3/2017 13:10,10
5/3/2017 13:20,10
5/3/2017 13:30,10
5/3/2017 13:40,10
5/3/2017 13:50,10
5/3/2017 14:00,10
5/3/2017 14:10,10
5/3/2017 14:20,10
5/3/2017 14:30,10
5/3/2017 14:40,10
5/3/2017 14:50,10
5/3/2017 15:00,10
5/3/2017 15:10,10
5/3/2017 15:20,10
5/3/2017 15:30,10
5/3/2017 15:40,10
5/3/2017 15:50,10
5/3/2017 16:00,10
5/3/2017 16:10,10
5/3/2017 16:20,10
5/3/2017 16:30,10
5/3/2017 16:40,10
5/3/2017 16:50,10
5/3/2017 17:00,10
5/3/2017 17:10,10
5/3/2017 17:20,10
5/3/2017 17:30,10
5/3/2017 17:40,10
5/3/2017 17:50,10
5/3/2017 18:00,10
5/3/2017 18:10,10
5/3/2017 18:20,10
5/3/2017 18:30,10
5/3/2017 18:40,10
5/3/2017 18:50,10
5/3/2017 19:00,10
5/3/2017 19:10,10
5/3/2017 19:20,10
5/3/2017 19:30,10
5/3/2017 19:40,10
5/3/2017 19:50,10
5/3/2017 20:00,10
5/3/2017 20:10,10
5/3/2017 20:20,10
5/3/2017 20:30,10
5/3/2017 20:40,10
5/3/2017 20:50,10
5/3/2017 21:00,10
5/3/2017 21:10,10
